journal_name,issn_print,issn_online,first_seen,last_seen,esac_id
Accounts of Chemical Research,0001-4842,1520-4898,2024-11-18,NA,acs2023sikt
Accounts of Materials Research,NA,2643-6728,2024-11-18,NA,acs2023sikt
ACS Agricultural Science & Technology,NA,2692-1952,2024-11-18,NA,acs2023sikt
ACS Applied Bio Materials,NA,2576-6422,2024-11-18,NA,acs2023sikt
ACS Applied Electronic Materials,NA,2637-6113,2024-11-18,NA,acs2023sikt
ACS Applied Energy Materials,NA,2574-0962,2024-11-18,NA,acs2023sikt
ACS Applied Engineering Materials (New in 2023),NA,2771-9545,2024-11-18,NA,acs2023sikt
ACS Applied Materials & Interfaces,1944-8244,1944-8252,2024-11-18,NA,acs2023sikt
ACS Applied Nano Materials,NA,2574-0970,2024-11-18,NA,acs2023sikt
ACS Applied Optical Materials (New in 2023),NA,2771-9855,2024-11-18,NA,acs2023sikt
ACS Applied Polymer Materials,NA,2637-6105,2024-11-18,NA,acs2023sikt
ACS Bio & Med Chem Au1,NA,2694-2437,2024-11-18,NA,acs2023sikt
ACS Biomaterials Science & Engineering,NA,2373-9878,2024-11-18,NA,acs2023sikt
ACS Catalysis,NA,2155-5435,2024-11-18,NA,acs2023sikt
ACS Central Science,NA,2374-7951,2024-11-18,NA,acs2023sikt
ACS Chemical Biology,1554-8929,1554-8937,2024-11-18,NA,acs2023sikt
ACS Chemical Health & Safety,1871-5532,1878-0504,2024-11-18,NA,acs2023sikt
ACS Chemical Neuroscience,NA,1948-7193,2024-11-18,NA,acs2023sikt
ACS Combinatorial Science4,2156-8952,2156-8944,2024-11-18,NA,acs2023sikt
ACS Earth and Space Chemistry,NA,2472-3452,2024-11-18,NA,acs2023sikt
ACS Energy Letters,NA,2380-8195,2024-11-18,NA,acs2023sikt
ACS Engineering Au1,NA,2694-2488,2024-11-18,NA,acs2023sikt
ACS Environmental Au1,NA,2694-2518,2024-11-18,NA,acs2023sikt
ACS ES&T Air (New in 2024),NA,2837-1402,2024-11-18,NA,acs2023sikt
ACS ES&T Engineering,NA,2690-0645,2024-11-18,NA,acs2023sikt
ACS ES&T Water,NA,2690-0637,2024-11-18,NA,acs2023sikt
ACS Food Science & Technology,NA,2692-1944,2024-11-18,NA,acs2023sikt
ACS Infectious Diseases,NA,2373-8227,2024-11-18,NA,acs2023sikt
ACS Macro Letters,NA,2161-1653,2024-11-18,NA,acs2023sikt
ACS Materials Au1,NA,2694-2461,2024-11-18,NA,acs2023sikt
ACS Materials Letters,NA,2639-4979,2024-11-18,NA,acs2023sikt
ACS Measurement Science Au1,NA,2694-250X,2024-11-18,NA,acs2023sikt
ACS Medicinal Chemistry Letters,NA,1948-5875,2024-11-18,NA,acs2023sikt
ACS Nano,1936-0851,1936-086X,2024-11-18,NA,acs2023sikt
ACS Nanoscience Au1,NA,2694-2496,2024-11-18,NA,acs2023sikt
ACS Omega,NA,2470-1343,2024-11-18,NA,acs2023sikt
ACS Organic & Inorganic Au1,NA,2694-247X,2024-11-18,NA,acs2023sikt
ACS Pharmacology & Translational Science,NA,2575-9108,2024-11-18,NA,acs2023sikt
ACS Photonics,NA,2330-4022,2024-11-18,NA,acs2023sikt
ACS Physical Chemistry Au1,NA,2694-2445,2024-11-18,NA,acs2023sikt
ACS Polymers Au1,NA,2694-2453,2024-11-18,NA,acs2023sikt
ACS Sensors,NA,2379-3694,2024-11-18,NA,acs2023sikt
ACS Sustainable Chemistry & Engineering,NA,2168-0485,2024-11-18,NA,acs2023sikt
ACS Sustainable Resource Management (New in 2024),NA,2837-1445,2024-11-18,NA,acs2023sikt
ACS Synthetic Biology,NA,2161-5063,2024-11-18,NA,acs2023sikt
Analytical Chemistry,0003-2700,1520-6882,2024-11-18,NA,acs2023sikt
Biochemistry,0006-2960,1520-4995,2024-11-18,NA,acs2023sikt
Bioconjugate Chemistry,1043-1802,1520-4812,2024-11-18,NA,acs2023sikt
Biomacromolecules,1525-7797,1526-4602,2024-11-18,NA,acs2023sikt
C&EN Global Enterprise2,NA,2474-7408,2024-11-18,NA,acs2023sikt
Chem & Bio Engineering (New in 2024),NA,2836-967X,2024-11-18,NA,acs2023sikt
Chemical & Biomedical Imaging (new in 2023),NA,2832-3637,2024-11-18,NA,acs2023sikt
Chemical Research in Toxicology,0893-228X,1520-5010,2024-11-18,NA,acs2023sikt
Chemical Reviews,0009-2665,1520-6890,2024-11-18,NA,acs2023sikt
Chemistry of Materials,0897-4756,1520-5002,2024-11-18,NA,acs2023sikt
Crystal Growth & Design,1528-7483,1528-7505,2024-11-18,NA,acs2023sikt
Energy & Fuels,0887-0624,1520-5029,2024-11-18,NA,acs2023sikt
Environment & Health (new in 2023),NA,2833-8278,2024-11-18,NA,acs2023sikt
Environmental Science & Technology,0013-936X,1520-5851,2024-11-18,NA,acs2023sikt
Environmental Science & Technology Letters,NA,2328-8930,2024-11-18,NA,acs2023sikt
Industrial & Engineering Chemistry Research,0888-5885,1520-5045,2024-11-18,NA,acs2023sikt
Inorganic Chemistry,0020-1669,1520-510X,2024-11-18,NA,acs2023sikt
JACS Au1,NA,2691-3704,2024-11-18,NA,acs2023sikt
Journal of Agricultural and Food Chemistry,0021-8561,1520-5118,2024-11-18,NA,acs2023sikt
Journal of Chemical & Engineering Data,0021-9568,1520-5134,2024-11-18,NA,acs2023sikt
Journal of Chemical Education,0021-9584,1938-1328,2024-11-18,NA,acs2023sikt
Journal of Chemical Information and Modeling,1549-9596,1549-960X,2024-11-18,NA,acs2023sikt
Journal of Chemical Theory and Computation,1549-9618,1549-9626,2024-11-18,NA,acs2023sikt
Journal of Medicinal Chemistry,0022-2623,1520-4804,2024-11-18,NA,acs2023sikt
Journal of Natural Products,0163-3864,1520-6025,2024-11-18,NA,acs2023sikt
Journal of Proteome Research,1535-3893,1535-3907,2024-11-18,NA,acs2023sikt
Journal of the American Chemical Society,0002-7863,1520-5126,2024-11-18,NA,acs2023sikt
Journal of the American Society for Mass Spectrometry,1044-0305,1879-1123,2024-11-18,NA,acs2023sikt
Langmuir,0743-7463,1520-5827,2024-11-18,NA,acs2023sikt
Macromolecules,0024-9297,1520-5835,2024-11-18,NA,acs2023sikt
Molecular Pharmaceutics,1543-8384,1543-8392,2024-11-18,NA,acs2023sikt
Nano Letters,1530-6984,1530-6992,2024-11-18,NA,acs2023sikt
Organic Letters,1523-7060,1523-7052,2024-11-18,NA,acs2023sikt
