journal_name,issn_print,issn_online,first_seen,last_seen,esac_id
Accounts of Chemical Research,0001-4842,1520-4898,2025-12-12,NA,acs2023titech
Accounts of Materials Research,NA,2643-6728,2025-12-12,NA,acs2023titech
ACS Agricultural Science & Technology,NA,2692-1952,2025-12-12,NA,acs2023titech
ACS Applied Bio Materials,NA,2576-6422,2025-12-12,NA,acs2023titech
ACS Applied Electronic Materials,NA,2637-6113,2025-12-12,NA,acs2023titech
ACS Applied Energy Materials,NA,2574-0962,2025-12-12,NA,acs2023titech
ACS Applied Engineering Materials,2771-9545,2771-9545,2025-12-12,NA,acs2023titech
ACS Applied Materials & Interfaces,1944-8244,1944-8252,2025-12-12,NA,acs2023titech
ACS Applied Nano Materials,NA,2574-0970,2025-12-12,NA,acs2023titech
ACS Applied Optical Materials,2771-9855,2771-9855,2025-12-12,NA,acs2023titech
ACS Applied Polymer Materials,NA,2637-6105,2025-12-12,NA,acs2023titech
ACS Bio & Med Chem Au,NA,2694-2437,2025-12-12,NA,acs2023titech
ACS Biomaterials Science & Engineering,NA,2373-9878,2025-12-12,NA,acs2023titech
ACS Catalysis,NA,2155-5435,2025-12-12,NA,acs2023titech
ACS Central Science,NA,2374-7951,2025-12-12,NA,acs2023titech
ACS Chemical Biology,1554-8929,1554-8937,2025-12-12,NA,acs2023titech
ACS Chemical Health & Safety,1871-5532,1878-0504,2025-12-12,NA,acs2023titech
ACS Chemical Neuroscience,NA,1948-7193,2025-12-12,NA,acs2023titech
ACS Earth and Space Chemistry,NA,2472-3452,2025-12-12,NA,acs2023titech
ACS Electrochemistry,NA,2997-0571,2025-12-12,NA,acs2023titech
ACS Energy Letters,NA,2380-8195,2025-12-12,NA,acs2023titech
ACS Engineering Au,NA,2694-2488,2025-12-12,NA,acs2023titech
ACS Environmental Au,NA,2694-2518,2025-12-12,NA,acs2023titech
ACS ES&T Air,NA,2837-1402,2025-12-12,NA,acs2023titech
ACS ES&T Engineering,NA,2690-0645,2025-12-12,NA,acs2023titech
ACS ES&T Water,NA,2690-0637,2025-12-12,NA,acs2023titech
ACS Food Science & Technology,NA,2692-1944,2025-12-12,NA,acs2023titech
ACS Infectious Diseases,NA,2373-8227,2025-12-12,NA,acs2023titech
ACS Macro Letters,NA,2161-1653,2025-12-12,NA,acs2023titech
ACS Materials Au,NA,2694-2461,2025-12-12,NA,acs2023titech
ACS Materials Letters,NA,2639-4979,2025-12-12,NA,acs2023titech
ACS Measurement Science Au,NA,2694-250X,2025-12-12,NA,acs2023titech
ACS Medicinal Chemistry Letters,NA,1948-5875,2025-12-12,NA,acs2023titech
ACS Nano,1936-0851,1936-086X,2025-12-12,NA,acs2023titech
ACS Nano Medicine,NA,3067-5928,2025-12-12,NA,acs2023titech
ACS Nanoscience Au,NA,2694-2496,2025-12-12,NA,acs2023titech
ACS Nutrition Science,NA,3067-6037,2025-12-12,NA,acs2023titech
ACS Omega,NA,2470-1343,2025-12-12,NA,acs2023titech
ACS Organic & Inorganic Au,NA,2694-247X,2025-12-12,NA,acs2023titech
ACS Pharmacology & Translational Science,NA,2575-9108,2025-12-12,NA,acs2023titech
ACS Photonics,NA,2330-4022,2025-12-12,NA,acs2023titech
ACS Physical Chemistry Au,NA,2694-2445,2025-12-12,NA,acs2023titech
ACS Polymers Au,NA,2694-2453,2025-12-12,NA,acs2023titech
ACS Sensors,NA,2379-3694,2025-12-12,NA,acs2023titech
ACS Sustainable Chemistry & Engineering,NA,2168-0485,2025-12-12,NA,acs2023titech
ACS Sustainable Resource Management,NA,2837-1445,2025-12-12,NA,acs2023titech
ACS Synthetic Biology,NA,2161-5063,2025-12-12,NA,acs2023titech
ACS Agricultural Science & Technology,NA,2692-1952,2025-12-12,NA,acs2023titech
Advances in Chemistry,0065-2393,NA,2025-12-12,NA,acs2023titech
Analytical Chemistry,0003-2700,1520-6882,2025-12-12,NA,acs2023titech
Artificial Photosynthesis,NA,2994-0974,2025-12-12,NA,acs2023titech
Biochemistry,0006-2960,1520-4995,2025-12-12,NA,acs2023titech
Bioconjugate Chemistry,1043-1802,1520-4812,2025-12-12,NA,acs2023titech
Biomacromolecules,1525-7797,1526-4602,2025-12-12,NA,acs2023titech
Chem & Bio Engineering,NA,2836-967X,2025-12-12,NA,acs2023titech
Chemical & Biomedical Imaging,NA,2832-3637,2025-12-12,NA,acs2023titech
Chemical Research in Toxicology,0893-228X,1520-5010,2025-12-12,NA,acs2023titech
Chemical Reviews,0009-2665,1520-6890,2025-12-12,NA,acs2023titech
Chemistry of Materials,0897-4756,1520-5002,2025-12-12,NA,acs2023titech
Crystal Growth & Design,1528-7483,1528-7505,2025-12-12,NA,acs2023titech
Energy & Fuels,0887-0624,1520-5029,2025-12-12,NA,acs2023titech
Environment & Health,NA,2833-8278,2025-12-12,NA,acs2023titech
Environmental Science & Technology,0013-936X,1520-5851,2025-12-12,NA,acs2023titech
Environmental Science & Technology Letters,NA,2328-8930,2025-12-12,NA,acs2023titech
Industrial & Engineering Chemistry Research,0888-5885,1520-5045,2025-12-12,NA,acs2023titech
Inorganic Chemistry,0020-1669,1520-510X,2025-12-12,NA,acs2023titech
JACS Au,NA,2691-3704,2025-12-12,NA,acs2023titech
Journal of Agricultural and Food Chemistry,0021-8561,1520-5118,2025-12-12,NA,acs2023titech
Journal of Chemical & Engineering Data,0021-9568,1520-5134,2025-12-12,NA,acs2023titech
