inst_name,ror_id,inst_first_seen,inst_last_seen,esac_id
Adelphi University,https://ror.org/025n13r50,2024-10-03,NA,acm2023lyrasis
Appalachian State University,https://ror.org/051m4vc48,2024-10-03,NA,acm2023lyrasis
Augusta University,https://ror.org/012mef835,2024-10-03,NA,acm2023lyrasis
Brandeis University,https://ror.org/05abbep66,2024-10-03,NA,acm2023lyrasis
Brown University,https://ror.org/05gq02987,2024-10-03,NA,acm2023lyrasis
Capitol Technology University,https://ror.org/045ej2q36,2024-10-03,NA,acm2023lyrasis
Chesapeake College,https://ror.org/04d5rm267,2024-10-03,NA,acm2023lyrasis
Clemson University,https://ror.org/037s24f05,2024-10-03,NA,acm2023lyrasis
College of Charleston,https://ror.org/00390t168,2024-10-03,NA,acm2023lyrasis
CUNY York College,https://ror.org/03v8adn41,2024-10-03,NA,acm2023lyrasis
DePauw University,https://ror.org/02mks6v46,2024-10-03,NA,acm2023lyrasis
Elon University,https://ror.org/01szgyb91,2024-10-03,NA,acm2023lyrasis
Florida Institute of Technology,https://ror.org/04atsbb87,2024-10-03,NA,acm2023lyrasis
Fordham University,https://ror.org/03qnxaf80,2024-10-03,NA,acm2023lyrasis
Georgia Gwinnett College,https://ror.org/05vkmhj10,2024-10-03,NA,acm2023lyrasis
Grinnell College,https://ror.org/04tmmky42,2024-10-03,NA,acm2023lyrasis
Hofstra University,https://ror.org/03pm18j10,2024-10-03,NA,acm2023lyrasis
Louisiana State University at Baton Rouge,https://ror.org/05yeqft47,2024-10-03,NA,acm2023lyrasis
Montclair State University,https://ror.org/01nxc2t48,2024-10-03,NA,acm2023lyrasis
Simmons College,https://ror.org/04mbfgm16,2024-10-03,NA,acm2023lyrasis
Southern Connecticut State University,https://ror.org/00ramkd50,2024-10-03,NA,acm2023lyrasis
SUNY Binghamton,https://ror.org/008rmbt77,2024-10-03,NA,acm2023lyrasis
SUNY Oswego,https://ror.org/01597g643,2024-10-03,NA,acm2023lyrasis
Swarthmore College,https://ror.org/012dg8a96,2024-10-03,NA,acm2023lyrasis
Syracuse University,https://ror.org/025r5qe02,2024-10-03,NA,acm2023lyrasis
The New School,https://ror.org/02tvcev59,2024-10-03,NA,acm2023lyrasis
Towson University,https://ror.org/044w7a341,2024-10-03,NA,acm2023lyrasis
Tulane University,https://ror.org/04vmvtb21,2024-10-03,NA,acm2023lyrasis
Union College,https://ror.org/058w5nk68,2024-10-03,NA,acm2023lyrasis
University of Alabama in Huntsville,https://ror.org/02zsxwr40,2024-10-03,NA,acm2023lyrasis
University of Baltimore,https://ror.org/024gw2733,2024-10-03,NA,acm2023lyrasis
University of Maine System,https://ror.org/050qj5m48,2024-10-03,NA,acm2023lyrasis
University of North Alabama,https://ror.org/0584fj407,2024-10-03,NA,acm2023lyrasis
University of North Carolina Wilmington,https://ror.org/02t0qr014,2024-10-03,NA,acm2023lyrasis
University of Rochester,https://ror.org/022kthw22,2024-10-03,NA,acm2023lyrasis
University of South Alabama,https://ror.org/01s7b5y08,2024-10-03,NA,acm2023lyrasis
University of South Carolina - Columbia,https://ror.org/00es7k954,2024-10-03,NA,acm2023lyrasis
University of the Cumberlands,https://ror.org/05jz3sn81,2024-10-03,NA,acm2023lyrasis
